No. Orden,N° de serie,Year,Quarter,Month,Day,Categoría,T. respuesta,Business Team,Pago Base CDMX y área metropolitana,Pago Base Interior,menos de 3 días,entre 3 y 6 días,entre 7 y 15 días,entre 16 y 30 días,entre 31 y 59 días,60 días o más,REGION,TR Ciudades principales,TR Otras ciudades,Loc TR,familia matriz global,Ruta,Year.1,Quarter.1,Month.1,Day.1,RESIDENTE/FIJO,time,viabilidad,veces_obj,pagofinal
69102,07CX043832,2019,Qtr 2,April,3,CORRECTIVO,0.3333333,Office Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,JALISCO,2019,Qtr 2,April,4,0,103,1.1,0.06666666,1501.5
69103,0E2B653886,2019,Qtr 2,April,3,CORRECTIVO,0.2,Entry Production Color Low/Mid,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,Entry Production Color Low/Mid,NUEVO LEON,2019,Qtr 2,April,4,0,19,1.05,0.05,1651.65
69105,0XPN553158,2019,Qtr 2,April,3,MANTENIMIENTO PREVENTIVO,0,Entry Production Color Low/Mid,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Otras,Entry Production Color Low/Mid,COAHUILA,2019,Qtr 2,April,4,0,41,0,0,1573
69106,03AG880318,2019,Qtr 2,April,3,CORRECTIVO,0.45,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Light Production Digital Business,NUEVO LEON,2019,Qtr 2,April,4,0,1,0,0.09,0
69107,0E2B666269,2019,Qtr 2,April,3,CORRECTIVO,0.25,Entry Production Color Low/Mid,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,Entry Production Color Low/Mid,QUERETARO,2019,Qtr 2,April,4,0,6,0.6,0.0625,943.8
69109,09HB331671,2019,Qtr 2,April,3,CORRECTIVO,0.5166667,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,METRO,5,9,Ciudad principal,A4 Mono MFPs,CIUDAD DE MEXICO,2019,Qtr 2,April,4,0,54,0.8,0.10333334,374.4
69112,0A4T554283,2019,Qtr 2,April,3,MANTENIMIENTO PREVENTIVO,0,Entry Mono Printers,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,CHIHUAHUA,2019,Qtr 2,April,4,0,8,0,0,715
69113,0AGE474522,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,WF Mono Systems and Legacy Color,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,WF Mono Systems and Legacy Color,TAMAULIPAS,2019,Qtr 2,April,4,0,8,0,0,1573
69114,0EX9293168,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0.08333334,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,GUANAJUATO,2019,Qtr 2,April,4,0,1,0,0,1365
69118,0EX9665131,2019,Qtr 2,April,4,CORRECTIVO,2,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,MICHOACAN,2019,Qtr 2,April,4,0,14,0.6,0.4,819
69119,0A4T558379,2019,Qtr 2,April,4,CORRECTIVO,0.8166667,Entry Mono Printers,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,JALISCO,2019,Qtr 2,April,9,0,30,0.6,0.16333334,429
69123,0E1B980062,2019,Qtr 2,April,4,CORRECTIVO,1.5,A4 Color Laser MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,ESTADO DE MEXICO,2019,Qtr 2,April,4,0,118,1.05,0.3,750.75
69129,0A2T200458,2019,Qtr 2,April,4,CORRECTIVO,2.45,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Otras,A4 Mono MFPs,NUEVO LEON,2019,Qtr 2,April,8,0,118,1.05,0.272222222222222,750.75
69131,0UHA002004,2019,Qtr 2,April,4,CORRECTIVO,2.583333,High End Cut Sheet,1116,2145,0.6,0.8,1.05,1.1,1.15,1.2,INTERIOR,3,6,Ciudad principal,High End Cut Sheet,JALISCO,2019,Qtr 2,April,8,0,2,0.6,0.861111,1287
69139,0A4T557615,2019,Qtr 2,April,4,CORRECTIVO,1.066667,Entry Mono Printers,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,JALISCO,2019,Qtr 2,April,9,0,41,0.8,0.2133334,572
69143,0EX9664780,2019,Qtr 2,April,4,CORRECTIVO,0.2333333,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,COAHUILA,2019,Qtr 2,April,4,0,8,0.6,0.04666666,819
69148,0Y4X849017,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,Office Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Light Production Digital Business,JALISCO,2019,Qtr 2,April,4,1,21,0,0,0
69149,0EX9293159,2019,Qtr 2,April,4,CORRECTIVO,0.35,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,GUANAJUATO,2019,Qtr 2,April,4,0,42,1.05,0.07,1433.25
69150,03AG880377,2019,Qtr 2,April,4,CORRECTIVO,0.95,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Light Production Digital Business,GUANAJUATO,2019,Qtr 2,April,4,0,3,0,0.19,0
69152,0BG0973687,2019,Qtr 2,April,4,CORRECTIVO,1.266667,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,NUEVO LEON,2019,Qtr 2,April,9,0,43,1.1,0.31666675,1730.3
69154,0BG0972049,2019,Qtr 2,April,4,CORRECTIVO,1.766667,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,GUANAJUATO,2019,Qtr 2,April,4,0,192,1.15,0.44166675,1808.95
69155,0E2B664326,2019,Qtr 2,April,4,CORRECTIVO,2.816667,Entry Production Color Low/Mid,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,Entry Production Color Low/Mid,GUANAJUATO,2019,Qtr 2,April,9,0,31,1.1,0.70416675,1730.3
69157,09BR381870,2019,Qtr 2,April,4,CORRECTIVO,0.3,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,CHIHUAHUA,2019,Qtr 2,April,4,NA,0,0,0,0
69160,09HB331538,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,JALISCO,2019,Qtr 2,April,4,1,15,0,0,0
69168,0EX9293145,2019,Qtr 2,April,4,CORRECTIVO,1.083333,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,JALISCO,2019,Qtr 2,April,4,0,10,0.6,0.2166666,819
69170,0A2T199940,2019,Qtr 2,April,4,CORRECTIVO,1.5,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,ESTADO DE MEXICO,2019,Qtr 2,April,11,0,35,0.8,0.3,572
69179,0VMA558262,2019,Qtr 2,April,4,CORRECTIVO,0.35,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,ESTADO DE MEXICO,2019,Qtr 2,April,5,1,276,0,0,0
69183,09HB331586,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,JALISCO,2019,Qtr 2,April,4,1,52,0,0,0
69188,0EX9299931,2019,Qtr 2,April,4,CORRECTIVO,1.883333,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,MICHOACAN,2019,Qtr 2,April,4,0,50,1.05,0.3766666,1433.25
69195,09HB331856,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,CIUDAD DE MEXICO,2019,Qtr 2,April,4,NA,209,0,0,0
69196,09HB331859,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,CIUDAD DE MEXICO,2019,Qtr 2,April,4,NA,183,0,0,0
69197,09HB331689,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,CHIHUAHUA,2019,Qtr 2,April,4,1,0,0,0,0
69199,09HB331878,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,CHIHUAHUA,2019,Qtr 2,April,4,1,0,0,0,0
69200,09HB331881,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,CHIHUAHUA,2019,Qtr 2,April,5,1,0,0,0,0
69202,09HB331684,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,CHIHUAHUA,2019,Qtr 2,April,5,1,0,0,0,0
69203,09HB332024,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,CIUDAD DE MEXICO,2019,Qtr 2,April,10,NA,132,0,0,0
69204,0E2B665653,2019,Qtr 2,April,4,CORRECTIVO,2.633333,Entry Production Color Low/Mid,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,Entry Production Color Low/Mid,JALISCO,2019,Qtr 2,April,8,0,16,1.05,0.65833325,1651.65
69206,09HB331929,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,METRO,5,9,Ciudad principal,A4 Mono MFPs,PUEBLA,2019,Qtr 2,April,5,0,150,0,0,468
69207,09HB331680,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,MORELOS,2019,Qtr 2,April,5,NA,10,0,0,0
69208,09HB331962,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,SINALOA,2019,Qtr 2,April,16,NA,0,0,0,0
69209,09HB331858,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,CIUDAD DE MEXICO,2019,Qtr 2,April,22,NA,0,0,0,0
69211,09HB331870,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,CIUDAD DE MEXICO,2019,Qtr 2,April,22,NA,0,0,0,0
69213,09HB331867,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,METRO,5,9,Ciudad principal,A4 Mono MFPs,CIUDAD DE MEXICO,2019,Qtr 2,April,22,1,24,0,0,0
69215,06TB445764,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A3 Office Color Laser MFPs,CIUDAD DE MEXICO,2019,Qtr 2,April,8,NA,0,0,0,0
69216,09HB331496,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,CIUDAD DE MEXICO,2019,Qtr 2,April,9,NA,0,0,0,0
69218,09HB331805,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,METRO,5,9,Ciudad principal,A4 Mono MFPs,CIUDAD DE MEXICO,2019,Qtr 2,April,10,1,106,0,0,0
69220,09HB331924,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,METRO,5,9,Ciudad principal,A4 Mono MFPs,CIUDAD DE MEXICO,2019,Qtr 2,April,10,1,149,0,0,0
69222,09HB331505,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,METRO,5,9,Ciudad principal,A4 Mono MFPs,CIUDAD DE MEXICO,2019,Qtr 2,April,11,1,8,0,0,0
69225,06TB445743,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,A3 Office Color Laser MFPs,655,1365,0,0,0.6,0.8,1.05,1.1,METRO,5,9,Ciudad principal,A3 Office Color Laser MFPs,CIUDAD DE MEXICO,2019,Qtr 2,April,11,1,8,0,0,0
69228,09HB331780,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,CIUDAD DE MEXICO,2019,Qtr 2,April,10,NA,0,0,0,0
69230,0BG0968959,2019,Qtr 2,April,4,CORRECTIVO,1.716667,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,ESTADO DE MEXICO,2019,Qtr 2,April,4,0,42,1.1,0.42916675,1730.3
69231,09HB331752,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,METRO,5,9,Ciudad principal,A4 Mono MFPs,CIUDAD DE MEXICO,2019,Qtr 2,April,9,1,9,0,0,0
69233,0GXV896042,2019,Qtr 2,April,4,CORRECTIVO,1.716667,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,ESTADO DE MEXICO,2019,Qtr 2,April,4,0,6,0.6,0.42916675,943.8
69234,09HB331896,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,CIUDAD DE MEXICO,2019,Qtr 2,April,9,NA,0,0,0,0
69238,09HB331541,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,JALISCO,2019,Qtr 2,April,4,1,35,0,0,0
69240,0BG2946917,2019,Qtr 2,April,4,CORRECTIVO,0.4666667,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Otras,High End Cut Sheet,COAHUILA,2019,Qtr 2,April,5,0,99,1.15,0.0777777833333333,1808.95
69242,09HB331812,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,JALISCO,2019,Qtr 2,April,8,1,3,0,0,0
69249,09HB333000,2019,Qtr 2,April,4,INSTALACION NUEVA,0,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,NUEVO LEON,2019,Qtr 2,April,4,NA,0,0,0,0
69253,AAQ100563,2019,Qtr 2,April,4,CORRECTIVO,4.55,Office Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,MICHOACAN,2019,Qtr 2,April,5,0,29,0.8,0.91,1092
69256,06TB445692,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,A3 Office Color Laser MFPs,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,A3 Office Color Laser MFPs,JALISCO,2019,Qtr 2,April,5,1,28,0,0,0
69258,09HB331384,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,JALISCO,2019,Qtr 2,April,5,NA,65,0,0,0
69259,0XNE133934,2019,Qtr 2,April,4,CORRECTIVO,1.066667,A3 Color Solid Ink MFPs,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Color Solid Ink Printers,CHIHUAHUA,2019,Qtr 2,April,4,0,23,0.8,0.2133334,1092
69260,09HB331554,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,JALISCO,2019,Qtr 2,April,8,NA,10,0,0,0
69261,0Y4X848763,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,Office Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Light Production Digital Business,JALISCO,2019,Qtr 2,April,8,0,8,0,0,1365
69262,0C4X008558,2019,Qtr 2,April,4,CORRECTIVO,2.316667,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,GUANAJUATO,2019,Qtr 2,April,9,0,155,1.05,0.4633334,750.75
69267,09HB331862,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,NUEVO LEON,2019,Qtr 2,April,15,1,24,0,0,0
69269,09HB332000,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,SAN LUIS POTOSI,2019,Qtr 2,April,25,1,73,0,0,0
69271,09HB331601,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,JALISCO,2019,Qtr 2,April,30,NA,160,0,0,0
69272,09HB331598,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,JALISCO,2019,Qtr 2,April,5,NA,91,0,0,0
69273,09HB331430,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,JALISCO,2019,Qtr 2,April,5,NA,0,0,0,0
69274,09HB331453,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,JALISCO,2019,Qtr 2,April,5,NA,29,0,0,0
69275,09HB332006,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,JALISCO,2019,Qtr 2,April,8,NA,13,0,0,0
69276,09HB331464,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,JALISCO,2019,Qtr 2,April,4,NA,0,0,0,0
69278,09HB331548,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,JALISCO,2019,Qtr 2,April,4,1,23,0,0,0
69280,09HB331691,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,CHIHUAHUA,2019,Qtr 2,April,15,NA,1,0,0,0
69282,09HB331992,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,GUANAJUATO,2019,Qtr 2,April,5,NA,0,0,0,0
69283,5AV820023,2019,Qtr 2,April,4,CORRECTIVO,5.016667,A4 Color Laser MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Color Laser MFPs,TAMAULIPAS,2019,Qtr 2,April,5,0,7,0,1.0033334,-0.595845250000008
69284,02TX064313,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A3 Office Color Laser MFPs,JALISCO,2019,Qtr 2,April,4,NA,0,0,0,0
69292,0XL1421896,2019,Qtr 2,April,4,CORRECTIVO,1.333333,Entry Mono Printers,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,Entry Mono Printers,CHIHUAHUA,2019,Qtr 2,April,5,0,316,1.05,0.2666666,750.75
69296,0EX9662181,2019,Qtr 2,April,4,CORRECTIVO,1.45,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,JALISCO,2019,Qtr 2,April,4,0,73,1.1,0.29,1501.5
69297,0E2B659015,2019,Qtr 2,April,4,CORRECTIVO,2.4,Entry Production Color Low/Mid,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,Entry Production Color Low/Mid,JALISCO,2019,Qtr 2,April,4,0,7,0.8,0.6,1258.4
69299,0E2B658529,2019,Qtr 2,April,4,CORRECTIVO,2.516667,Entry Production Color Low/Mid,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,Entry Production Color Low/Mid,JALISCO,2019,Qtr 2,April,4,0,206,1.15,0.62916675,1808.95
69303,0C4X002927,2019,Qtr 2,April,4,CORRECTIVO,0,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,CHIHUAHUA,2019,Qtr 2,April,4,0,352,1.05,0,750.75
69308,0A2T024295,2019,Qtr 2,April,4,CORRECTIVO,1.666667,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,QUERETARO,2019,Qtr 2,April,4,NA,0,0,0,0
69314,0XPN550545,2019,Qtr 2,April,4,CORRECTIVO,0.5833333,Entry Production Color Low/Mid,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,Entry Production Color Low/Mid,QUERETARO,2019,Qtr 2,April,5,0,8,0.8,0.145833325,1258.4
69319,0BG1000997,2019,Qtr 2,April,4,CORRECTIVO,0.5666667,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,NUEVO LEON,2019,Qtr 2,April,5,0,16,1.05,0.141666675,1651.65
69320,09HB331889,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,JALISCO,2019,Qtr 2,April,4,1,65,0,0,0
69325,0A1H022391,2019,Qtr 2,April,4,CORRECTIVO,1.766667,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,WF Mono Systems and Legacy Color,SAN LUIS POTOSI,2019,Qtr 2,April,5,NA,0,0,0,0
69326,0EX9293200,2019,Qtr 2,April,4,CORRECTIVO,0.03333334,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,SAN LUIS POTOSI,2019,Qtr 2,April,11,0,2,0,0.006666668,0
69327,0BG2947159,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,NUEVO LEON,2019,Qtr 2,April,4,0,0,0,0,1573
69330,03BT802213,2019,Qtr 2,April,4,CORRECTIVO,0.2666667,A4 Mono MFPs,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,A4 Mono MFPs,MICHOACAN,2019,Qtr 2,April,5,0,150,1.05,0.05333334,750.75
69333,0E2B646633,2019,Qtr 2,April,4,MANTENIMIENTO PREVENTIVO,0,Entry Production Color Low/Mid,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,Entry Production Color Low/Mid,TAMAULIPAS,2019,Qtr 2,April,5,0,2,0,0,1573
69335,0BG2951623,2019,Qtr 2,April,5,MANTENIMIENTO PREVENTIVO,0,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,TAMAULIPAS,2019,Qtr 2,April,5,0,8,0,0,1573
69353,09HB331865,2019,Qtr 2,April,5,MANTENIMIENTO PREVENTIVO,0,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,JALISCO,2019,Qtr 2,April,5,NA,0,0,0,0
69357,0XEL557426,2019,Qtr 2,April,5,MANTENIMIENTO PREVENTIVO,0,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,NUEVO LEON,2019,Qtr 2,April,15,0,115,0,0,1365
69358,0BG2951597,2019,Qtr 2,April,5,MANTENIMIENTO PREVENTIVO,0,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,NUEVO LEON,2019,Qtr 2,April,15,0,10,0,0,1573
69359,0XPN546686,2019,Qtr 2,April,5,MANTENIMIENTO PREVENTIVO,0,Entry Production Color Low/Mid,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,Entry Production Color Low/Mid,NUEVO LEON,2019,Qtr 2,April,15,0,2,0,0,1573
69360,0A1H020596,2019,Qtr 2,April,5,MANTENIMIENTO PREVENTIVO,0,WF Mono Systems and Legacy Color,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,WF Mono Systems and Legacy Color,NUEVO LEON,2019,Qtr 2,April,10,0,31,0,0,1573
69361,0A1H020586,2019,Qtr 2,April,5,MANTENIMIENTO PREVENTIVO,0,WF Mono Systems and Legacy Color,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,WF Mono Systems and Legacy Color,NUEVO LEON,2019,Qtr 2,April,22,0,151,0,0,1573
69362,0EX9283024,2019,Qtr 2,April,5,MANTENIMIENTO PREVENTIVO,0,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,NUEVO LEON,2019,Qtr 2,April,11,0,66,0,0,1365
